carat cut color clarity depth table price x y z
1.23 Ideal H IF 61.3 57 8431 6.87 6.92 4.23
1.21 Premium H IF 62.2 58 8446 6.83 6.8 4.24
1.02 Premium G IF 61.8 59 8489 6.41 6.46 3.98
1.23 Ideal H IF 61.3 57 8585 6.92 6.87 4.23
1.1 VeryGood G IF 60.5 55 8592 6.77 6.71 4.08
1.01 VeryGood G IF 62.8 57 8621 6.39 6.42 4.02
1.02 VeryGood G IF 62.3 59 8624 6.36 6.45 3.99
1.02 Premium G IF 61.8 59 8643 6.46 6.41 3.98
1.09 VeryGood G IF 62.9 57 8650 6.52 6.58 4.12
1.04 VeryGood G IF 60.7 58 8655 6.52 6.65 4
1.01 Ideal G IF 62.8 57 8778 6.42 6.39 4.02
1.22 VeryGood G IF 62 59 8793 6.8 6.85 4.23
1.04 Premium G IF 60.7 58 8813 6.65 6.52 4
1.05 Ideal G IF 62.5 56 8850 6.48 6.52 4.06
1.05 Premium G IF 60.6 60 8850 6.57 6.59 3.99
1.01 Ideal G IF 61.5 58 8869 6.44 6.47 3.97
1.01 Ideal G IF 60.8 59 8869 6.47 6.5 3.94
1.08 Ideal G IF 61.3 57 8873 6.59 6.62 4.05
1.04 Ideal G IF 62.1 54 8921 6.53 6.55 4.06
1.02 Ideal G IF 62.3 57 8955 6.43 6.5 4.03
1.01 Ideal G IF 62.2 61 8957 6.34 6.4 3.96
1.12 VeryGood G IF 60.9 57 8962 6.68 6.79 4.1
1.12 Good G IF 59.6 56 8973 6.8 6.85 4.07
1.05 Ideal G IF 62.5 56 9012 6.52 6.48 4.06
1.05 Premium G IF 60.6 60 9012 6.59 6.57 3.99
1.05 VeryGood G IF 58.9 61 9013 6.64 6.67 3.92
1.08 Ideal G IF 61.3 57 9035 6.62 6.59 4.05
1.04 Premium G IF 61.3 58 9039 6.52 6.43 3.97
1.1 VeryGood G IF 59.8 56 9053 6.75 6.82 4.06
1.01 VeryGood G IF 61.1 56 9063 6.45 6.48 3.95
1.12 Premium G IF 60.9 57 9126 6.79 6.68 4.1
0.9 VeryGood D IF 62.4 54 9182 6.17 6.21 3.86
1 VeryGood F IF 63.9 56 9248 6.31 6.34 4.04
1.07 Ideal G IF 61.5 57 9361 6.54 6.59 4.04
1.53 Premium J IF 61.1 58 9424 7.41 7.45 4.54
1.06 VeryGood F IF 60.6 56 9433 6.62 6.69 4.03
1.12 Premium G IF 61.2 58 9440 6.67 6.7 4.09
1.01 Good F IF 62.7 59 9451 6.3 6.42 3.99
1.13 Premium G IF 61.2 59 9525 6.71 6.78 4.13
1.07 Ideal G IF 61.5 57 9532 6.59 6.54 4.04
1.53 Premium J IF 61.1 58 9596 7.45 7.41 4.54
1.12 Premium G IF 61.2 58 9612 6.7 6.67 4.09
1.01 Premium F IF 62.3 57 9627 6.5 6.35 4
1 Good F IF 60.7 64 9660 6.42 6.4 3.89
1.45 VeryGood I IF 60.6 61 9683 7.32 7.41 4.46
1.13 Premium G IF 61.2 59 9698 6.78 6.71 4.13
1.12 VeryGood G IF 61 58 9820 6.7 6.72 4.09
1.08 Ideal G IF 62.3 56 9831 6.55 6.59 4.09
1 Good F IF 63.2 63 9867 6.24 6.26 3.95
1.16 Ideal G IF 62.3 55 9901 6.73 6.79 4.21
1.16 Ideal G IF 62 57 9901 6.7 6.73 4.16
1.11 Ideal G IF 61.9 55 9931 6.64 6.68 4.12
1.01 VeryGood F IF 59.6 62 9965 6.47 6.56 3.88
1.01 VeryGood F IF 63.5 59 9972 6.29 6.41 4.03
1.2 VeryGood G IF 59.4 61 9987 6.92 6.95 4.12
